id,race,gender,strip_search,items_found
966,Black,M,No,NA
967,Black,M,No,NA
968,Black,M,No,NA
969,Black,M,No,NA
970,White,F,No,NA
971,White,F,Yes,0
972,Latino,F,No,NA
973,Black,F,No,NA
974,Black,F,No,NA
975,Black,F,No,NA
976,White,F,No,NA
977,Black,M,No,NA
978,Middle-Eastern,M,No,NA
979,Black,M,No,NA
980,Black,M,No,NA
981,Black,M,No,NA
982,Black,M,No,NA
983,Unknown or Legacy,M,No,NA
984,Unknown or Legacy,M,No,NA
985,South Asian,M,No,NA
986,Black,M,No,NA
987,East/Southeast Asian,F,No,NA
988,White,M,Yes,1
989,White,M,No,NA
990,White,M,Yes,0
991,White,M,Yes,0
992,White,M,No,NA
993,White,M,No,NA
994,White,M,No,NA
995,White,M,Yes,0
996,Unknown or Legacy,M,No,NA
997,South Asian,M,No,NA
998,Black,M,No,NA
999,White,M,No,NA
1000,White,M,No,NA
1001,Black,M,No,NA
1002,White,M,No,NA
1003,White,M,No,NA
1004,White,M,No,NA
1005,Black,M,No,NA
1006,White,M,No,NA
1007,South Asian,M,No,NA
1008,Black,M,No,NA
1009,White,M,No,NA
1010,Middle-Eastern,M,No,NA
1011,White,M,No,NA
1012,White,M,Yes,0
1013,White,M,No,NA
1014,White,M,No,NA
1015,White,M,No,NA
1016,Middle-Eastern,M,Yes,0
1017,Middle-Eastern,M,No,NA
1018,Black,F,No,NA
1019,Middle-Eastern,M,No,NA
1020,Black,F,No,NA
1021,Unknown or Legacy,F,No,NA
1022,Black,F,No,NA
1023,White,M,Yes,0
1024,White,M,Yes,0
1025,White,M,No,NA
1026,White,M,No,NA
1027,White,F,No,NA
1028,Latino,F,No,NA
1029,White,M,No,NA
1030,White,M,No,NA
1031,White,F,No,NA
1032,Black,F,Yes,0
1033,White,M,No,NA
1034,White,M,No,NA
1035,White,M,No,NA
1036,White,M,No,NA
1037,White,M,No,NA
1038,White,F,Yes,0
1039,White,F,No,NA
1040,White,F,No,NA
1041,White,M,No,NA
1042,Black,M,No,NA
1043,East/Southeast Asian,M,No,NA
1044,Black,F,No,NA
1045,Black,M,No,NA
1046,White,M,No,NA
1047,White,M,No,NA
1048,Black,F,No,NA
1049,Unknown or Legacy,M,Yes,0
1050,Unknown or Legacy,M,No,NA
1051,Unknown or Legacy,M,No,NA
1052,East/Southeast Asian,M,No,NA
1053,South Asian,M,No,NA
1054,Middle-Eastern,M,No,NA
